,group,name,text,clean_text
0,Data cleaning,note01 [Data cleaning].jpg,"807 OF BIOB
INFORMANES IS
CLEANING ZORG
is now YOUGET
ARGEL FOR DAA ...
SO WHEN YOU
MACE AN INSIGHT
",biob informan clean zorg youget argel mace insight
1,Data cleaning,note02 [Data cleaning].jpg,"Data cleaning
goolines of code,
too was about cleaning
the data, 200 was
on the model
ST24
",data clean goolin code clean data model st24
2,Data cleaning,note03 [Data cleaning].jpg,"Data cleaning
Biggest challenge
I think we have
TB48
",data clean biggest challeng think tb48
3,Data cleaning,note04 [Data cleaning].jpg,"CLEANING DATA ..
ESSENTIAL, UN-
REWALED A Wiol
IT YOU CAN'T GET
THE ANSWER.
KE
",clean data essenti rewal wiol answer
4,Data cleaning,note05 [Data cleaning].jpg,"THAT IS PROSAIC
BUT NEARU Tape
INSURMOUNTABLE
OBSTALLE WY CURRENT
DANA SET. 2 orrions
- RETE AU CURRENT
- DAMA
KEP
",prosaic nearu tape insurmount obstal current dana orrion rete current dama
5,Data cleaning,note06 [Data cleaning].jpg,"DATA EXISTS BUT
it is POORLY Piece
LP
",data exist poorli piec
6,Data cleaning,note07 [Data cleaning].jpg,"Mining is
MINING. BULD
SWEAT. YEARS
& SOMETIMES YOU
JUSE END W
EA RE
",mine mine buld sweat year juse
7,Data cleaning,note08 [Data cleaning].jpg,"Donw TO HIRING
ApiviDUALS
MANUAL TROL
THROUGH CHARTS.
E ABSTRPES DAM
BY HAND.
",donw hire apividu manual trol chart abstrp hand
8,Data cleaning,note09 [Data cleaning].jpg,"MY SOFTWARE
ENGINEERS HAVE
BECOME DAMA
CLEANERS.
How CAN IT
INHO
TRANSCAPE
GENERAL PROBLEM
",softwar engin dama cleaner inho transcap gener problem
9,Data cleaning,note10 [Data cleaning].jpg,"807 OF TIME
ON CANINA*
PREP KAN €
79 - of es
Time is SPENT
ON PANA PREP
197 coulang
60% GEANING
* ORGI
- ERANO ELMAR
",time canina prep time spent pana prep coulang gean orgi erano elmar
10,Data counceling,note100 [Data counceling].jpg,"hugely benefical
for science
hypothesis a
n
",huge benef scienc hypothesi
11,Data counceling,note101 [Data counceling].jpg,"AB SCIENCE
SHOULD BE
GUIDED BY AN
IMENTIONAL MIX
OF HYPOMETIS
DRIVEN &
HYPOTS FREE
",scienc guid iment hypometi driven hypot free
12,Data counceling,note102 [Data counceling].jpg,"SNDTES I WANT
A BUNCH OF
CARIDIONS IS NI
cool IDEAS...
I WANT TO LET
AL COMPUTER
COSE ON DARA
",sndte want bunch caridion cool idea want cose dara
13,Data counceling,note103 [Data counceling].jpg,"How CAN WE
LEVERAGE HU-
DRIVEN IS HY-FREE
No4.CDS
REAU HARD FOR
DoCS TO KEEPUP
NI MUMNONAS
",leverag driven free reau hard keepup mumnona
14,Data counceling,note104 [Data counceling].jpg,"MACHINES CAN
HELP WITH TABULAON
""BETTER THAN ANY
HUMAN CAN.
BUT NEGO ME
GROUND nam
TO TABULATEUR
",machin help tabulaon better human nego ground tabulateur
15,Data counceling,note105 [Data counceling].jpg,"ACROSS ME BOARD
mis Is Me QUESION
of OUR ARE
CLASH OF CULARES
ano NOT BE
Blaut. Dia
JAGEN/IMPENERAL
LANGUAGE B-21
",board quesion clash cular blaut jagen impener languag
16,Data counceling,note106 [Data counceling].jpg,"*
NICIAN ENGAGEMENT
TEZH NOLUIST ENGAGEME
TO CREATE A WELL CIRCUMSCRIBED
QUESTION # FERE
NEEDS TO BE A JOINT
| UNDERSTANDING,
| DANGER Born WAYS.
",nician engag tezh noluist engagem creat circumscrib question fere need joint understand danger born
17,Data counceling,note107 [Data counceling].jpg,"INSUFFICENT
CHNICAN ENGAGEM
IN TEH AN ORMUE
KF
",insuffic chnican engagem ormu
